Team,Rank,ATT,MID,DEF,GK
Brazil,1,80,80,80,89
Belgium,2,83,82,80,89
France,4,85,86,83,87
Argentina,3,86,81,81,84
England,5,85,83,82,83
Spain,6,83,85,83,84
Portugal,9,85,83,85,82
Mexico,12,79,78,74,80
Netherlands,8,82,82,84,81
Denmark,10,77,79,78,85
Germany,11,83,85,81,90
Uruguay,13,84.3,80,81.2,80
Switzerland,16,76.7,79.5,78.5,85
USA,14,75,75,75,77
Croatia,15,76.7,84.2,77.8,82
Wales,19,74,74,72,74
Senegal,18,80.7,79,79,83
IR Iran,22,75.3,69,69,73
Japan,24,75,77.5,75.2,73
Morocco,23,81.7,76.2,81.2,82
Serbia,25,80.3,81.8,75.8,80
Poland,26,81,74,75,87
Korea Republic,28,80,73.8,73,75
Costa Rica,34,70.3,69.2,71.5,88
Tunisia,30,72.3,74,70.8,72
Cameroon,38,77.7,75,76.8,67
Canada,43,75,73,70,76
Australia,39,75,69,70,77
Ecuador,44,76,74.5,73.5,71
Saudi Arabia,53,67.7,72.8,72.8,70
Qatar,48,50,50,50,50
Ghana,60,50,50,50,50
